 author ;  language; framework ; version ; multi threaded ; comment ; slowest run ; fastest run ;  measurements excl slowest and fastest 
 gsc ;  Java 21; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 170.412807 ; 169.352015 ;  169.645788;169.765595;170.024335;170.147445;170.178241;170.248487;170.256464;170.278365 
 gsc ;  Java 21; Spring Boot 3.2.2 ; v2 ; true ; multithreading via parallelStream ; 65.421745 ; 56.533534 ;  58.434724;58.488121;60.557411;60.927695;61.754202;62.041767;62.929318;63.263878 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 240.768107 ; 232.049573 ;  234.524218;236.680470;236.957368;237.612500;238.423396;238.711053;239.365959;239.465640 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v2 ; true ; multithreading via parallelStream ; 80.331044 ; 73.755293 ;  74.319795;74.426724;74.583504;75.197205;76.120604;76.293064;76.377488;77.550805 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 334.950060 ; 329.815295 ;  329.869475;329.944235;330.064370;330.305633;330.651241;333.365097;333.720591;333.949792 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v2 ; true ; parallel streams & dumb ; 117.403035 ; 111.915738 ;  112.849255;112.857475;113.704429;113.778076;114.922019;114.988012;115.945101;116.011498 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 2.295929 ; 2.203608 ;  2.204683;2.205487;2.206239;2.212617;2.221151;2.253350;2.272334;2.279058 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v2 ; true ; multithreading via parallelStream ; 0.225862 ; 0.199502 ;  0.201412;0.203131;0.203223;0.203433;0.204145;0.204600;0.205910;0.216185 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 1.188317 ; 1.123647 ;  1.123815;1.124165;1.126866;1.127097;1.127098;1.143408;1.144070;1.149883 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v2 ; true ; multithreading via parallelStream ; 0.172173 ; 0.129607 ;  0.132428;0.133715;0.135183;0.136978;0.136979;0.139223;0.141555;0.150879 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 1.183759 ; 1.160195 ;  1.173640;1.175362;1.175484;1.177668;1.177912;1.178794;1.180178;1.182891 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v2 ; true ; multithreading via parallelStream ; 0.374349 ; 0.342950 ;  0.343428;0.348333;0.350763;0.354738;0.356492;0.357555;0.358763;0.365449 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 1.243115 ; 1.101249 ;  1.123256;1.128175;1.146616;1.154774;1.159297;1.162846;1.239838;1.241897 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v2 ; true ; multithreading via parallelStream ; 0.383480 ; 0.346779 ;  0.352001;0.352486;0.353483;0.353901;0.359684;0.362382;0.374508;0.377840 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 1.211549 ; 1.153718 ;  1.171874;1.188647;1.191404;1.191594;1.191598;1.192092;1.194502;1.195965 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v2 ; true ; multithreading via parallelStream ; 0.165296 ; 0.129535 ;  0.131758;0.131910;0.135850;0.136299;0.137629;0.140858;0.146389;0.158531 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 12.784054 ; 11.527847 ;  11.566772;11.762114;11.808949;12.033718;12.125007;12.177560;12.203155;12.405931 
 gsc ;  Graal VM & Java 21; Spring Boot 3.2.2 ; v2 ; true ; multithreading via parallelStream ; 1.931826 ; 1.821504 ;  1.834326;1.837455;1.838614;1.848459;1.864205;1.869166;1.880746;1.906341 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 0.002803 ; 0.001542 ;  0.001608;0.001625;0.001642;0.001670;0.001684;0.001704;0.001821;0.001897 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v2 ; true ; parallel streams & dumb ; 0.003003 ; 0.001486 ;  0.001489;0.001603;0.001641;0.001660;0.001836;0.001886;0.001897;0.001938 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 28.440003 ; 26.682231 ;  27.330233;27.469633;27.608544;27.640490;27.687363;27.709555;27.740979;28.084402 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v2 ; true ; parallel streams & dumb ; 3.722425 ; 3.624907 ;  3.633195;3.646945;3.647145;3.660464;3.660979;3.665136;3.679191;3.679923 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v1 ; false ; naive & dumb ; 23.519716 ; 21.846423 ;  22.034872;22.040839;22.055640;22.303879;22.418536;22.418709;22.506603;22.899998 
 gsc ;  Graal VM & Kotlin 1.9.0; Spring Boot 3.2.2 ; v2 ; true ; parallel streams & dumb ; 3.270906 ; 3.161293 ;  3.190280;3.194793;3.215562;3.221426;3.240546;3.249114;3.253727;3.261250 
  ;  ;  ;  ;  ;  ; 0.000104 ; 0.000058 ;  0.000059;0.000061;0.000061;0.000062;0.000063;0.000065;0.000066;0.000073 
  ;  ;  ;  ;  ;  ; 0.000074 ; 0.000058 ;  0.000059;0.000059;0.000060;0.000061;0.000064;0.000064;0.000065;0.000066 
